"","locus","n_samples"
"201","Contig_0000065_1638",79
"202","Contig_0000066_1513",78
"203","Contig_0000066_1562",66
"204","Contig_0000066_1632",78
"205","Contig_0000066_1648",78
"206","Contig_0000067_1495",81
"207","Contig_0000067_1629",80
"208","Contig_0000068_1561",82
"209","Contig_0000068_1628",74
"210","Contig_0000068_1634",78
"211","Contig_0000069_1482",77
"212","Contig_0000069_1547",70
"213","Contig_0000069_1626",80
"214","Contig_000007_2273",80
"215","Contig_000007_2287",80
"216","Contig_000007_2562",77
"217","Contig_000007_2563",73
"218","Contig_0000070_1482",79
"219","Contig_0000070_1547",76
"220","Contig_0000070_1624",82
"221","Contig_0000070_1626",77
"222","Contig_0000071_1545",70
"223","Contig_0000071_1610",74
"224","Contig_0000071_1624",77
"225","Contig_0000072_1477",77
"226","Contig_0000072_1522",70
"227","Contig_0000072_1609",79
"228","Contig_0000072_1621",75
"229","Contig_0000073_1476",79
"230","Contig_0000073_1608",78
"231","Contig_0000074_1475",73
"232","Contig_0000074_1516",75
"233","Contig_0000074_1602",76
"234","Contig_0000075_1467",70
"235","Contig_0000075_1509",78
"236","Contig_0000075_1598",70
"237","Contig_0000076_1464",49
"238","Contig_0000076_1592",73
"239","Contig_0000076_1601",74
"240","Contig_0000077_1588",81
"241","Contig_0000077_1598",77
"242","Contig_0000078_1499",50
"243","Contig_0000078_1585",62
"244","Contig_0000078_1593",79
"245","Contig_0000079_1497",75
"246","Contig_0000079_1584",78
"247","Contig_0000079_1593",78
"248","Contig_000008_2250",74
"249","Contig_000008_2474",70
"250","Contig_0000080_1486",69
"251","Contig_0000080_1581",73
"252","Contig_0000080_1582",70
"253","Contig_0000081_1575",78
"254","Contig_0000082_1579",68
"255","Contig_0000083_1472",79
"256","Contig_0000083_1568",59
"257","Contig_0000084_1472",81
"258","Contig_0000085_1465",80
"259","Contig_0000085_1564",81
"260","Contig_0000085_1574",67
"261","Contig_0000086_1464",79
"262","Contig_0000086_1572",77
"263","Contig_0000087_1463",75
"264","Contig_0000087_1556",74
"265","Contig_0000087_1567",72
"266","Contig_0000088_1553",81
"267","Contig_0000088_1567",78
"268","Contig_0000089_1552",68
"269","Contig_000009_2227",79
"270","Contig_000009_2241",80
"271","Contig_000009_2358",78
"272","Contig_000009_2472",80
"273","Contig_0000090_1546",75
"274","Contig_0000090_1551",77
"275","Contig_0000091_1546",52
"276","Contig_0000092_1542",69
"277","Contig_0000093_1543",65
"278","Contig_0000094_1537",78
"279","Contig_0000094_1542",74
"280","Contig_0000095_1529",78
"281","Contig_0000095_1535",79
"282","Contig_0000096_1527",75
"283","Contig_0000096_1530",79
"284","Contig_0000097_1519",79
"285","Contig_0000097_1528",75
"286","Contig_0000098_1519",78
"287","Contig_0000098_1525",78
"288","Contig_0000099_1519",81
"289","Contig_1_1002",68
"290","Contig_1_1012",68
"291","Contig_1_1014",68
"292","Contig_1_1017",66
"293","Contig_1_1019",61
"294","Contig_1_1027",67
"295","Contig_1_1074",71
"296","Contig_1_1088",27
"297","Contig_1_1095",71
"298","Contig_1_1100",86
"299","Contig_1_1117",65
"300","Contig_1_1134",76
"301","Contig_1_1136",72
"302","Contig_1_1143",77
"303","Contig_1_1144",78
"304","Contig_1_1163",68
"305","Contig_1_1165",73
"306","Contig_1_1180",70
"307","Contig_1_1185",77
"308","Contig_1_1208",71
"309","Contig_1_1230",75
"310","Contig_1_1243",75
"311","Contig_1_1260",77
"312","Contig_1_1282",67
"313","Contig_1_1286",68
"314","Contig_1_1294",68
"315","Contig_1_1309",67
"316","Contig_1_1313",80
"317","Contig_1_1320",77
"318","Contig_1_1322",75
"319","Contig_1_1348",77
"320","Contig_1_1368",70
"321","Contig_1_1385",76
"322","Contig_1_141",44
"323","Contig_1_1431",76
"324","Contig_1_1456",72
"325","Contig_1_1460",76
"326","Contig_1_157",36
"327","Contig_1_167",67
"328","Contig_1_177",53
"329","Contig_1_1796",60
"330","Contig_1_183",36
"331","Contig_1_184",77
"332","Contig_1_187",38
"333","Contig_1_188",72
"334","Contig_1_198",48
"335","Contig_1_201",36
"336","Contig_1_205",75
"337","Contig_1_211",56
"338","Contig_1_214",77
"339","Contig_1_217",59
"340","Contig_1_2191",76
"341","Contig_1_223",69
"342","Contig_1_227",53
"343","Contig_1_228",44
"344","Contig_1_229",69
"345","Contig_1_230",44
"346","Contig_1_232",47
"347","Contig_1_238",49
"348","Contig_1_239",53
"349","Contig_1_2485",72
"350","Contig_1_256",72
