"","locus","n_samples"
"96","Assembly_000000010609_Contig_2_446_RUBxPdouarrei",44
"97","Assembly_000000010687_Contig_5_211_RUBxPmarginata",38
"98","Assembly_000000010723_Contig_1_244_RUBxPdouarrei",37
"99","Assembly_000000010723_Contig_2_234_RUBxPdouarrei",39
"100","Assembly_000000010723_Contig_4_145_RUBxPdouarrei",4
"101","Assembly_000000010739_Contig_6_246_RUBxPdouarrei",38
"102","Assembly_000000010759_Contig_1_140_RUBxPdouarrei",37
"103","Assembly_000000010759_Contig_2_325_RUBxPdouarrei",22
"104","Assembly_000000010799_Contig_2_359_RUBxPdouarrei",36
"105","Assembly_000000010883_Contig_2_295_RUBxPipecacuanha",39
"106","Assembly_000000010883_Contig_3_294_RUBxPipecacuanha",38
"107","Assembly_000000010883_Contig_4_199_RUBxPipecacuanha",37
"108","Assembly_000000011359_Contig_1_188_RUBxPmarginata",27
"109","Assembly_000000011799_Contig_4_141_CINxHamelia",23
"110","Assembly_000000011853_Contig_1_226_CINxCinchona",1
"111","Assembly_000000011853_Contig_2_308_CINxCinchona",37
"112","Assembly_000000011853_Contig_3_138_CINxCinchona",25
"113","Assembly_000000011909_Contig_2_180_CINxCinchona",0
"114","Assembly_000000011909_Contig_4_142_CINxCinchona",8
"115","Assembly_000000012267_Contig_1_238_CINxHamelia",39
"116","Assembly_000000012267_Contig_2_219_CINxHamelia",34
"117","Assembly_000000012467_Contig_1_298_RUBxPipecacuanha",37
"118","Assembly_000000012467_Contig_7_148_RUBxPipecacuanha",7
"119","Assembly_000000012597_Contig_1_867_RUBxPipecacuanha",39
"120","Assembly_000000012667_Contig_1_139_RUBxPipecacuanha",36
"121","Assembly_000000012667_Contig_2_340_RUBxPipecacuanha",33
"122","Assembly_000000012667_Contig_3_156_RUBxPipecacuanha",26
"123","Assembly_000000012667_Contig_5_143_RUBxPipecacuanha",24
"124","Assembly_000000013113_Contig_1_402_CINxHamelia",33
"125","Assembly_000000013157_Contig_1_283_CINxHamelia",0
"126","Assembly_000000013161_Contig_1_598_CINxHamelia",38
"127","Assembly_000000013331_Contig_3_282_CINxHamelia",32
"128","Assembly_000000013621_Contig_3_212_CINxHamelia",35
"129","Assembly_000000014363_Contig_2_165_RUBxPipecacuanha",25
"130","Assembly_000000014363_Contig_5_166_RUBxPipecacuanha",0
"131","Assembly_000000014463_Contig_1_271_RUBxPipecacuanha",36
"132","Assembly_000000014463_Contig_3_228_RUBxPipecacuanha",37
"133","Assembly_000000014463_Contig_4_227_RUBxPipecacuanha",37
"134","Assembly_000000014771_Contig_2_157_CINxHamelia",35
"135","Assembly_000000015007_Contig_1_298_RUBxPipecacuanha",38
"136","Assembly_000000015007_Contig_2_154_RUBxPipecacuanha",38
"137","Assembly_000000015007_Contig_3_145_RUBxPipecacuanha",36
"138","Assembly_000000015301_Contig_1_553_CINxHamelia",35
"139","Assembly_000000015485_Contig_1_362_CINxHamelia",2
"140","Assembly_000000015589_Contig_2_304_RUBxPipecacuanha",7
"141","Assembly_000000015589_Contig_3_215_RUBxPipecacuanha",31
"142","Assembly_000000015713_Contig_4_184_RUBxPipecacuanha",1
"143","Assembly_000000015713_Contig_5_195_RUBxPipecacuanha",35
"144","Assembly_000000015713_Contig_6_166_RUBxPipecacuanha",30
"145","Assembly_000000015713_Contig_7_145_RUBxPipecacuanha",23
"146","Assembly_000000015713_Contig_8_135_RUBxPipecacuanha",29
"147","Assembly_000000016059_Contig_1_502_CINxHamelia",26
"148","Assembly_000000016325_Contig_1_198_RUBxPipecacuanha",36
"149","Assembly_000000016325_Contig_6_226_RUBxPipecacuanha",37
"150","Assembly_000000016461_Contig_1_754_CINxNeolamarckia",0
"151","Assembly_000000016461_Contig_2_263_CINxNeolamarckia",1
"152","Assembly_000000016461_Contig_3_350_CINxNeolamarckia",0
