"","locus","n_samples"
"331","24714000011",75
"332","24741000004",70
"333","2478000003",65
"334","248000003",73
"335","248000008",72
"336","2487000012",71
"337","24872000001",66
"338","249000007",71
"339","25000003",64
"340","25000017",74
"341","2506000009",75
"342","25065000002",69
"343","25097000010",65
"344","251000004",72
"345","251000011",65
"346","2515000000",69
"347","25192000015",72
"348","253000000",75
"349","25342000018",72
"350","2550000002",73
"351","2552000018",75
"352","256000017",65
"353","2564000004",71
"354","2571000001",56
"355","25721000002",68
"356","258000012",63
"357","259000011",72
"358","2596000010",68
"359","25981000012",64
"360","26000008",69
"361","26000010",71
"362","26000016",62
"363","26000017",73
"364","2607000006",69
"365","2610000015",60
"366","262000013",63
"367","262000014",63
"368","2631000002",68
"369","2632000004",64
"370","26341000008",66
"371","264000012",59
"372","2666000016",69
"373","2672000002",62
"374","26737000006",63
"375","2687000018",71
"376","2688000010",77
"377","269000003",75
"378","269000012",70
"379","269000019",72
"380","27000000",66
"381","27000001",63
"382","270000015",71
"383","27090000016",68
"384","27096000009",59
"385","2711000018",58
"386","2724000002",72
"387","2725000011",76
"388","273000018",73
"389","2739000018",63
"390","274000004",73
"391","2746000005",77
"392","275000019",75
"393","2752000011",52
"394","2756000016",66
"395","276000011",61
"396","2763000007",61
"397","2763000010",71
"398","2766000017",62
"399","2776000007",67
"400","27781000011",65
"401","27799000006",74
"402","27887000005",62
"403","279000004",65
"404","27938000005",74
"405","27943000002",64
"406","280000018",67
"407","28000003",67
"408","28000007",71
"409","2808000018",72
"410","282000012",67
"411","282000014",63
"412","28231000000",60
"413","28286000013",65
"414","283000019",69
"415","2832000003",70
"416","2837000017",65
"417","2844000011",55
"418","285000015",69
"419","2859000009",68
"420","286000015",72
"421","289000004",66
"422","2893000011",75
"423","28956000004",66
"424","29000003",76
"425","29000012",75
"426","29000013",75
"427","29000014",73
"428","291000005",69
"429","29254000007",66
"430","29260000017",73
"431","293000000",66
"432","2933000013",73
"433","294000000",66
"434","294000012",77
"435","29499000007",77
"436","2950000015",72
"437","2964000017",72
"438","299000011",68
"439","29976000016",56
"440","30000000",76
"441","30000001",73
"442","300000011",72
"443","30000009",72
"444","30000011",73
"445","30001000015",66
"446","30054000006",76
"447","3035000014",73
"448","3039000015",66
"449","3053000004",75
"450","30672000016",63
"451","307000017",65
"452","3071000001",60
"453","30713000010",58
"454","3085000001",71
"455","3096000017",69
"456","310000008",72
"457","31000008",76
"458","31000010",66
"459","31000017",73
"460","3104000013",71
"461","3106000001",65
"462","311000013",64
"463","31105000004",77
"464","31347000000",72
"465","314000018",77
"466","31678000009",67
"467","317000016",68
"468","3181000004",67
"469","32000000012",68
"470","32000018",76
"471","32000019",75
"472","3225000019",68
"473","323000006",61
"474","3232000008",63
"475","324000003",69
"476","327000010",66
"477","3300000006",70
"478","33000007",72
"479","33000016",77
"480","3302000005",70
"481","33042000002",70
"482","33097000002",73
"483","331000009",71
"484","33117000008",65
"485","3328000019",62
"486","333000004",74
"487","3335000015",74
"488","3336000015",66
"489","3340000002",70
"490","335000006",69
"491","336000002",76
"492","33616000018",72
"493","338000004",64
"494","3399000000",76
"495","341000010",69
"496","3421000004",65
"497","34212000015",69
"498","3428000008",70
"499","34359000017",70
"500","345000012",71
"501","3452000013",75
"502","3471000019",67
"503","3477000018",71
"504","34866000005",75
"505","349000003",71
"506","35000000",69
"507","35000002",68
"508","35342000013",71
"509","35360000012",71
"510","3554000008",72
"511","35618000019",60
"512","3562000002",69
"513","358000018",67
"514","3609000006",73
"515","3639000003",65
"516","364000019",69
"517","3650000004",65
"518","3653000013",70
"519","366000001",62
"520","37000005",71
"521","3703000019",71
"522","371000002",55
"523","37121000010",68
"524","372000011",66
"525","3732000019",63
"526","376000010",62
"527","3762000003",77
"528","3776000016",66
"529","3779000008",62
"530","38000010",70
"531","38000014",73
"532","38090000010",69
"533","382000007",68
"534","382000009",73
"535","3824000013",67
"536","3834000012",66
"537","3843000002",68
"538","3845000000",62
"539","385000009",74
"540","3854000001",70
"541","386000003",76
"542","389000005",76
"543","38929000010",60
"544","3894000003",65
"545","39000002",72
"546","392000001",68
"547","394000005",74
"548","39746000000",77
"549","3979000001",61
"550","398000015",66
"551","39812000004",71
"552","3983000006",71
"553","40000001",69
"554","400000014",72
"555","4009000005",74
"556","4021000009",72
"557","4030000006",66
"558","4052000007",68
"559","4060000010",76
"560","40652000018",52
"561","4076000014",75
"562","40876000016",90
"563","41000013",69
"564","41000019",70
"565","4104000001",73
"566","4106000014",61
"567","411000014",69
"568","4111000009",73
"569","4130000000",58
"570","4136000019",69
"571","414000013",78
"572","4163000006",65
"573","4174000012",60
"574","41800000013",71
"575","41910000004",68
"576","4195000009",74
"577","41999000003",65
"578","42000013",75
"579","42000019",66
"580","4201000018",60
"581","421000016",70
"582","422000001",78
"583","4225000015",72
"584","42412000006",75
"585","4258000002",68
"586","4290000002",62
"587","43000005",69
"588","43000010",73
"589","43000013",76
"590","43000015",67
"591","43000018",68
"592","432000010",72
"593","433000001",68
"594","4344000010",62
"595","4353000015",72
"596","4358000005",72
"597","4368000013",66
"598","438000014",67
"599","4397000005",67
"600","4416000009",63
"601","44351000013",74
